"pred_day","GRP1","GRP2","ophi_A_1up_cnt","ophi_A_1up_avg","ophi_B_2_4up_cnt","ophi_B_2_4up_avg","ophi_C_5_7up_cnt","ophi_C_5_7up_avg","ophi_D_8_12up_cnt","ophi_D_8_12up_avg","opcl_A_1up_cnt","opcl_A_1up_avg","opcl_B_2_4up_cnt","opcl_B_2_4up_avg","opcl_C_5_7up_cnt","opcl_C_5_7up_avg","opcl_D_8_12up_cnt","opcl_D_8_12up_avg","oplw_A_1up_cnt","oplw_A_1up_avg","oplw_B_2_4up_cnt","oplw_B_2_4up_avg","oplw_C_5_7up_cnt","oplw_C_5_7up_avg","oplw_D_8_12up_cnt","oplw_D_8_12up_avg"
"04-10 Day","NO_UP_HIGH1","A1_5",80,0.6,60,2,100,6.3,100,8.1,0,-1.6,40,0.6,100,3.8,100,5.9,0,-2,0,-4.2,20,-1.4,40,0.2
"04-10 Day","NO_UP_HIGH1","B6_10",100,0.6,80,1.4,100,7,100,10.3,0,-0.7,60,0.1,80,5.4,100,8.8,0,-1.4,0,-2.7,60,-0.2,80,2.3
"04-10 Day","NO_UP_HIGH1","C11_15",80,2.1,80,2.7,80,2.5,80,2.7,20,-1.1,60,0.1,80,1.6,80,1.9,0,-2.3,0,-4.2,0,-2.4,20,-2.1
"04-10 Day","NO_UP_HIGH1","D16_20",80,1.1,100,5,100,7.6,100,11.3,40,-0.8,80,2.9,100,6,100,10.4,0,-1.6,20,-2.1,80,2.3,80,2.8
"04-10 Day","NO_UP_HIGH1","Z21~all",96.1,1.4,75.7,2.9,90.1,5.4,96.1,8.8,28.7,-1,58.6,1.4,85.6,3.9,90.1,7.3,0,-2.1,9.4,-3.4,44.2,-0.6,52.5,0.4
"04-10 Day","NO_UP_HIGH16","A1_5",80,0.7,80,1.4,80,4.1,80,4.8,40,-0.8,60,-0.1,80,2.6,80,3.7,0,-1.6,0,-3.2,60,-1.1,60,-0.1
"04-10 Day","NO_UP_HIGH16","B6_10",100,0.9,100,2.9,100,4.4,100,6.5,40,-0.4,80,1.5,80,3.4,100,5.7,0,-1,0,-1.8,80,0.3,60,0.6
"04-10 Day","NO_UP_HIGH16","C11_15",100,2.3,80,3.8,80,3.9,80,4.1,40,-0.5,80,2.5,80,2.9,80,1.9,0,-1.7,0,-4.5,40,-2,40,-3
"04-10 Day","NO_UP_HIGH16","D16_20",100,1,80,1.6,100,5.9,100,8,20,-1,40,-0.4,100,4.1,100,7.6,0,-1.9,0,-3.7,20,-0.8,60,1.5
"04-10 Day","NO_UP_HIGH16","Z21~all",95,1.4,75.1,3,90.6,5.5,96.7,9,26.5,-1,58,1.4,86.2,4,90.6,7.5,0,-2.1,9.9,-3.4,43.1,-0.5,52.5,0.5
"04-10 Day","RE_RANK","A1_5",80,0.7,80,1.2,80,2.7,80,4.6,40,-0.8,60,-0.4,80,1.6,80,3.9,0,-1.5,0,-3.1,60,-1.2,80,0.1
"04-10 Day","RE_RANK","B6_10",100,0.9,80,1.3,100,4.4,100,10.2,0,-1.3,40,-0.9,80,2.9,100,9.2,0,-1.9,0,-4.3,20,-1.9,60,0.4
"04-10 Day","RE_RANK","C11_15",100,1.6,100,4.3,100,5.2,100,5.4,40,-0.1,100,2.4,100,4.4,100,4.3,0,-1.3,0,-1.4,60,1,60,0.8
"04-10 Day","RE_RANK","D16_20",100,1.4,60,1.2,100,7.6,100,8.5,40,-0.4,60,-0.2,80,5.7,100,7.3,0,-1.3,0,-3.3,60,0.1,60,2.4
"04-10 Day","RE_RANK","Z21~all",95,1.4,75.7,3,90.1,5.5,96.1,8.9,27.1,-1,58,1.4,86.2,3.9,90.1,7.4,0,-2.1,9.9,-3.4,43.1,-0.6,51.4,0.4
"04-10 Day","RE_RANK_UP","A1_5",80,0.7,80,1.2,80,2.7,80,4.6,40,-0.8,60,-0.4,80,1.6,80,3.9,0,-1.5,0,-3.1,60,-1.2,80,0.1
"04-10 Day","RE_RANK_UP","B6_10",100,1.2,100,2.2,100,4.8,100,6.6,20,-1,60,0.3,80,3.5,100,5.9,0,-1.8,0,-3.4,40,-0.7,60,0.5
"04-10 Day","RE_RANK_UP","C11_15",100,0.4,80,2.4,100,4.8,100,7.2,20,-0.5,80,0.7,80,3.4,100,6.3,0,-0.9,0,-1.8,60,0.2,60,1.1
"04-10 Day","RE_RANK_UP","D16_20",100,2.3,80,3.9,100,7.7,100,11.3,40,0,80,2.1,100,6.2,100,9.9,0,-1.2,0,-2.4,60,0.9,60,2.3
"04-10 Day","RE_RANK_UP","Z21~all",95,1.4,75.1,3,90.1,5.5,96.1,8.9,27.1,-1,57.5,1.4,86.2,3.9,90.1,7.3,0,-2.2,9.9,-3.4,42.5,-0.6,51.4,0.4
"04-13 Day","NO_UP_HIGH1","A1_5",100,0.6,80,1.5,100,5.3,100,7.3,20,-0.7,60,1,100,4.1,100,6.1,0,-1.1,0,-2.2,40,0.3,80,1.8
"04-13 Day","NO_UP_HIGH1","B6_10",80,0.6,80,1.1,80,3.4,80,6.4,0,-1,60,-0.4,80,2.2,80,5.7,0,-1.9,0,-3.3,60,-1,60,0.2
"04-13 Day","NO_UP_HIGH1","C11_15",100,0.8,80,2.3,100,8.1,100,12.6,0,-2,60,1.5,100,6.7,100,11.7,0,-2.7,0,-3.3,40,0,80,3.8
"04-13 Day","NO_UP_HIGH1","D16_20",100,1.7,100,3.1,100,6.8,100,9.9,40,0.1,60,0.8,100,5,100,9,0,-1.6,20,-2.4,60,0.9,80,1.9
"04-13 Day","NO_UP_HIGH1","Z21~all",95,1.4,75.1,3,90.1,5.4,96.1,8.7,28.7,-1,58.6,1.4,85.1,3.9,90.1,7.2,0,-2.1,9.4,-3.4,43.1,-0.6,50.3,0.3
"04-13 Day","NO_UP_HIGH16","A1_5",80,0.6,60,0.9,80,3.4,80,6.4,40,-1.3,60,-0.4,80,2.3,80,5.3,0,-1.8,0,-3.8,40,-2,60,-0.4
"04-13 Day","NO_UP_HIGH16","B6_10",100,1.8,80,1.4,100,6,100,6.3,40,-0.4,20,-0.1,100,3.7,80,4.7,0,-1.9,0,-3.2,40,-0.5,60,-0.1
"04-13 Day","NO_UP_HIGH16","C11_15",100,0.5,80,1.4,100,4.1,100,8.8,0,-0.9,60,-0.1,80,3,100,8.2,0,-1.3,0,-2.6,40,-0.1,80,2
"04-13 Day","NO_UP_HIGH16","D16_20",100,2.1,80,3.3,100,10.1,100,11.3,80,1.1,80,2.3,100,8.2,100,10.7,0,-0.8,40,0.1,80,2.2,100,5.9
"04-13 Day","NO_UP_HIGH16","Z21~all",95,1.4,76.2,3,90.1,5.4,96.1,8.8,26,-1,59.1,1.4,85.6,3.9,90.6,7.3,0,-2.2,8.8,-3.5,43.1,-0.6,50.3,0.3
"04-13 Day","RE_RANK","A1_5",100,0.6,80,1.4,100,4.9,100,8.1,0,-0.7,60,0.8,100,4.1,100,7.2,0,-1.2,0,-2.3,40,0.4,100,2.7
"04-13 Day","RE_RANK","B6_10",100,0.8,80,2.1,100,6.2,100,10.3,20,-1.3,60,0.4,100,4.1,100,9.4,0,-2,0,-3.6,40,-1,60,1.2
"04-13 Day","RE_RANK","C11_15",80,1.2,80,1,80,2.7,80,4.9,40,-0.9,60,-0.8,80,1.8,80,4.5,0,-1.6,0,-3.4,20,-1.8,80,0
"04-13 Day","RE_RANK","D16_20",100,1.4,40,0.6,100,5.1,100,6.5,20,-1.2,0,-1.5,80,3.4,80,4.5,0,-2.4,0,-3.8,20,-1.6,60,-0.2
"04-13 Day","RE_RANK","Z21~all",95,1.4,76.8,3.1,90.1,5.5,96.1,8.9,28.2,-1,60.2,1.5,85.6,4,90.6,7.4,0,-2.1,9.9,-3.4,45.3,-0.5,50.3,0.4
"04-13 Day","RE_RANK_UP","A1_5",100,0.6,80,1.4,100,4.9,100,8.1,0,-0.7,60,0.8,100,4.1,100,7.2,0,-1.2,0,-2.3,40,0.4,100,2.7
"04-13 Day","RE_RANK_UP","B6_10",80,0.7,60,1.1,80,4.2,80,8.7,20,-1.5,60,-0.4,80,2.5,80,7.9,0,-2.2,0,-4,40,-2,60,-0.1
