"pred_day","GRP1","GRP2","ophi_A_1up_cnt","ophi_A_1up_avg","ophi_B_2_4up_cnt","ophi_B_2_4up_avg","ophi_C_5_7up_cnt","ophi_C_5_7up_avg","ophi_D_8_12up_cnt","ophi_D_8_12up_avg","opcl_A_1up_cnt","opcl_A_1up_avg","opcl_B_2_4up_cnt","opcl_B_2_4up_avg","opcl_C_5_7up_cnt","opcl_C_5_7up_avg","opcl_D_8_12up_cnt","opcl_D_8_12up_avg","oplw_A_1up_cnt","oplw_A_1up_avg","oplw_B_2_4up_cnt","oplw_B_2_4up_avg","oplw_C_5_7up_cnt","oplw_C_5_7up_avg","oplw_D_8_12up_cnt","oplw_D_8_12up_avg"
"08-08 Day","NO_UP_HIGH1","A1_5",100,2.5,100,3.8,100,6,100,6.8,100,2.3,100,3.4,100,5.5,100,6,0,-0.5,60,0.3,80,2.3,80,3.1
"08-08 Day","NO_UP_HIGH1","B6_10",100,2.3,100,6.3,100,12.6,100,14.6,100,1.8,100,5.8,100,11.6,100,13.1,0,-1.4,60,1.1,100,4.4,100,8.2
"08-08 Day","NO_UP_HIGH1","C11_15",100,2.5,100,5.3,100,9.3,100,10.3,100,2.2,100,4.6,100,8.5,100,9.6,0,-0.4,80,0.7,100,3.8,100,6.2
"08-08 Day","NO_UP_HIGH1","D16_20",100,3.1,100,4.8,100,9.2,100,12.8,100,2.7,100,4.6,100,8.8,100,11.5,0,-1,60,0,100,3.3,100,6.9
"08-08 Day","NO_UP_HIGH1","Z21~all",100,1.8,97.7,3.5,99.4,5.7,98.9,7.9,89.2,1.2,94.9,3,95.5,5.2,98.3,7.2,0,-0.6,52.8,0,74.4,2,87.5,3.6
"08-08 Day","NO_UP_HIGH16","A1_5",100,2.2,100,4.6,100,7.2,100,7.8,100,2,100,4.1,100,6.9,100,7,0,-1.1,80,1.1,100,3,100,3.5
"08-08 Day","NO_UP_HIGH16","B6_10",100,2.1,100,4.3,100,10.7,100,12.5,80,0.9,100,3.8,100,10,100,11.1,0,-1.3,20,-0.3,80,3.3,100,6.3
"08-08 Day","NO_UP_HIGH16","C11_15",100,1.6,100,4.4,100,9.1,100,12.5,100,1.3,80,4.1,100,8.6,100,12,0,-1.3,40,-0.5,100,4.1,100,8.2
"08-08 Day","NO_UP_HIGH16","D16_20",100,2,100,3.7,100,5.9,100,8.4,100,1.5,100,3.3,100,5.4,100,7.6,0,-0.8,60,-0.6,80,1.9,100,4.4
"08-08 Day","NO_UP_HIGH16","Z21~all",100,1.8,97.7,3.6,99.4,5.9,98.9,8,89.8,1.3,95.5,3.1,95.5,5.3,98.3,7.3,0,-0.6,54.5,0.1,75,2,86.9,3.6
"08-08 Day","RE_RANK","A1_5",100,2.5,100,5,100,11,100,15.2,80,2,100,4.5,100,10.5,100,12.9,0,-0.8,60,0.9,100,3.9,100,6.2
"08-08 Day","RE_RANK","B6_10",100,3.1,100,6.7,100,12.2,100,14.7,100,2.9,100,6.2,100,11.2,100,14,0,-1,100,1.6,100,4.9,100,8.7
"08-08 Day","RE_RANK","C11_15",100,1.3,100,3.6,100,6.6,100,10.1,80,0.1,80,3.2,100,5.9,100,8.8,0,-1.7,20,-1,100,2.2,100,4.8
"08-08 Day","RE_RANK","D16_20",100,3.8,100,7.4,100,13.2,100,15.7,100,3.4,100,7.1,100,12.7,100,14.8,0,-1.7,60,0.5,100,6.1,100,9.7
