"date","coin","구성요소","가격"
"2023-05-08","1INCH","high",602
"2023-05-09","1INCH","high",565
"2023-05-10","1INCH","high",572
"2023-05-11","1INCH","high",567
"2023-05-12","1INCH","high",563
"2023-05-13","1INCH","high",565
"2023-05-14","1INCH","high",564
"2023-05-15","1INCH","high",568
"2023-05-16","1INCH","high",569
"2023-05-17","1INCH","high",566
"2023-05-18","1INCH","high",559
"2023-05-19","1INCH","high",544
"2023-05-20","1INCH","high",543
"2023-05-21","1INCH","high",543
"2023-05-22","1INCH","high",534
"2023-05-23","1INCH","high",538
"2023-05-24","1INCH","high",538
"2023-05-25","1INCH","high",530
"2023-05-26","1INCH","high",531
"2023-05-27","1INCH","high",531
"2023-05-28","1INCH","high",543
"2023-05-29","1INCH","high",542
"2023-05-30","1INCH","high",533
"2023-05-31","1INCH","high",534
"2023-06-01","1INCH","high",511
"2023-06-02","1INCH","high",510
"2023-06-03","1INCH","high",505
"2023-06-04","1INCH","high",497
"2023-06-05","1INCH","high",493
"2023-06-06","1INCH","high",444
"2023-06-07","1INCH","high",442
"2023-06-08","1INCH","high",434
"2023-06-09","1INCH","high",432
"2023-06-10","1INCH","high",426
"2023-06-11","1INCH","high",365
"2023-06-12","1INCH","high",362
"2023-06-13","1INCH","high",361
"2023-06-14","1INCH","high",363
"2023-06-15","1INCH","high",346
"2023-06-16","1INCH","high",368
"2023-06-17","1INCH","high",372
"2023-06-18","1INCH","high",373
"2023-06-19","1INCH","high",365
"2023-06-20","1INCH","high",385
"2023-06-21","1INCH","high",409
"2023-06-22","1INCH","high",413
"2023-06-23","1INCH","high",430
"2023-06-24","1INCH","high",447
"2023-06-25","1INCH","high",473
"2023-06-26","1INCH","high",444
"2023-06-27","1INCH","high",431
"2023-06-28","1INCH","high",423
"2023-06-29","1INCH","high",415
"2023-06-30","1INCH","high",434
"2023-07-01","1INCH","high",444
"2023-07-02","1INCH","high",443
"2023-07-03","1INCH","high",459
"2023-07-04","1INCH","high",453
"2023-07-05","1INCH","high",437
"2023-07-06","1INCH","high",432
"2023-07-07","1INCH","high",410
"2023-07-08","1INCH","high",413
"2023-07-09","1INCH","high",411
"2023-07-10","1INCH","high",410
"2023-07-11","1INCH","high",414
