"coin","filter1","filter2","filter3","filter4","filter1_6","filter2_6","filter3_6","filter4_6","filter1_6dn","filter2_6dn","filter3_6dn","filter4_6dn","filter5","filter6","filter7","filter8","filter9","filter10","filter11","filter12","filter13","filter14","filter15","filter16","filter17","filter18","filter19","filter20","filter21","filter22","LAST_VL_close","NO","NO_DOWN","NO_DOWN_LOW16","NO_DOWN_CL16","NO_UP_CL16","NO_UP_HCL16","NO_UP_LOW16","NO_UP_HIGH16","coin2","RE_RANK","RE_RANK_UP"
"STX",14,46,21,11,30,85,40,15,200,543,166,177,3,11,8,0,1,0,0,0,35,98,"-2.06","-1.3","1.11","-3.01","-8.48","-5.6","-11.","-12.4",2444,98,112,108,113,114,114,110,110,"STX(14,30,40,166)",109.875,109.2
"ETH",14,40,17,9,36,108,44,28,208,589,185,196,6,24,10,8,0,0,0,0,43,142,"-1.45","-1.44","-1.12","-0.84","-3.68","-2.55","-3.92","-4.24",3355000,96,114,113,114,111,111,108,105,"ETH(14,36,44,185)",109,106.2
"CRO",10,40,16,14,26,101,41,34,177,471,139,155,3,24,11,10,0,0,0,0,46,171,"-2.0","-","-","-0.34","-5.9","-","-","-2.22",119,106,108,97,105,108,112,109,113,"CRO(10,26,41,139)",107.25,109.6
"MATIC",15,49,23,11,48,121,47,26,160,451,135,156,22,47,12,13,1,0,0,0,23,71,"-1.92","-1.93","-0.67","-2.69","-3.74","-2.61","-2.50","-3.21",1150,95,102,92,107,112,108,105,98,"MATIC(15,48,47,135)",102.375,103.6
"XEC",6,33,21,6,29,134,61,44,171,450,132,147,16,71,25,30,1,0,0,0,49,146,"-3.88","-2.6","-0.2","-2.06","-5.55","-3.7","-1.6","-2.47",0.04532,113,106,89,98,103,106,93,111,"XEC(6,29,61,132)",102.375,105.2
"TRX",12,31,11,8,47,141,38,56,146,458,174,138,21,51,5,25,0,0,0,0,28,111,"-1.65","-1.2","-1.0","-1.53","-2.69","-1.9","-3.8","-2.33",167,104,89,110,87,88,105,111,100,"TRX(12,47,38,174)",99.25,101.6
"LINK",10,49,13,26,67,176,57,52,171,477,158,148,41,87,33,13,1,1,0,0,17,128,"-4.20","-3.8","-2.4","-5.367","-6.37","-4.6","-8.7","-8.906",24930,105,107,104,103,93,95,96,79,"LINK(10,67,57,158)",97.75,93.6
"AHT",16,52,19,17,33,95,31,31,146,401,107,148,11,25,6,8,0,0,0,0,47,168,"-1.31","-0.","-1.","-0.94","-3.13","-2.","-2.","-2.87",10.83,89,90,54,101,110,113,114,107,"AHT(16,33,31,107)",97.25,106.6
"BTG",8,49,26,15,41,169,56,72,184,461,148,129,22,66,14,30,1,1,0,0,29,130,"-5.87","-3.66","0.188","-0.34","-4.28","-2.70","-3.36","-1.31",33340,111,109,100,76,63,101,98,103,"BTG(8,41,56,148)",95.125,95.2
"CELO",20,45,13,12,43,133,47,43,138,430,165,127,15,56,24,17,0,0,0,0,29,95,"-0.02","-0.31","-1.85","-0.9","-2.52","-1.94","-2.94","-2.1",987,71,87,107,74,105,107,106,102,"CELO(20,43,47,165)",94.875,98.2
